NIC,COMBO,STRB,WHEEL
8.98,4.98,0.77,A
23.45,1.73,2.98,A
5.75,2.4,1.7,A
5.2,2.82,3.1,A
8.6,2.38,1.32,A
5.68,2.02,5.9,A
6.52,5.57,5.22,A
2.47,2.27,2.3,A
5.53,6.5,3.47,A
1.17,5.5,2.32,A
10.03,2.92,4.13,A
3.92,3.93,9.05,A
7.42,10.3,6.03,A
8.87,10.4,4.88,A
7.07,13.75,1.93,A
24.85,14.65,3.18,A
15.52,16.07,7.28,A
15.93,34.15,3.43,A
8.97,20.13,4.55,A
5.12,21.25,7.05,A
14.7,,2.27,A
7.78,,6.6,A
18.7,,4.08,A
17.58,,1.43,A
21.13,,1.12,A
25.62,,17.88,A
7.95,,1.18,A
8.03,,3.2,A
6.92,,15.47,A
1.68,,3.82,A
3.85,,54.23,A
6.88,,11.78,A
2.08,,23.63,A
2.9,,8.48,A
3,,4.67,A
3.05,,3.7,A
0.83,,6.1,A
2.8,,9.5,A
1.37,,0.98,A
1.42,,12.73,A
5.8,,1.98,A
5.13,,1.5,A
3.4,,5.6,A
2.77,,1.6,A
2.78,,7.72,A
4.77,,4.15,A
1.08,,7.7,A
4.1,,9.67,A
5.42,,5.05,A
1.95,,7.22,A
1.37,,8.58,A
1.28,,7.43,A
1.05,,2.2,A
1.08,,6.7,A
1.73,,2.75,A
1.45,,1.83,A
1.4,,7.53,A
0.83,,2.78,A
3.23,,7.62,A
1.6,,2.08,A
1.73,,4.17,A
1.23,,3.38,A
2.95,,6.12,A
1.6,,9.72,A
0.85,,5.03,A
1.98,,10.23,A
1.03,,2,A
1.4,,6.78,A
1.27,,47.45,A
18.92,,6.72,A
16.48,,1.93,A
5.02,,10.32,A
6,,7.53,A
8.97,,9.28,A
12.2,,7.27,A
5.22,,11.83,A
13.85,,8.35,A
27.67,,7.82,A
5.43,,1.02,A
15.17,,9.23,A
17.05,,3.5,A
14.38,,8.2,A
11.85,,5.87,A
5.87,,15.07,A
,,3.87,A
,,2.98,A
,,6.73,A
,,1.83,A
,,5.62,A
,,3.52,A
,,1.67,A
,,2.6,A
,,1.42,A
,,1.27,A
,,2.1,A
,,5.32,A
,,24.05,A
,,2.77,A
,,1.58,A
,,3.05,A
,,3.92,A
,,2.73,A
,,2.9,A
,,1.62,A
,,1.07,A
,,2.25,A
,,3,A
,,1.83,A
,,2.9,A
,,2.47,A
,,1.47,A
,,2.9,A
,,3.45,A
,,7.32,A
,,1.93,A
,,7.92,A
,,2.75,A
,,6.05,A
,,2.92,A
,,2.08,A
,,3.18,A
,,3.58,A
,,2.18,A
,,1.63,A
,,0.97,A
,,2.95,A
,,1.6,A
,,4.53,A
,,11.45,A
,,6.95,A
,,6.5,A
,,13.63,A
,,1.2,A
,,2.62,A
,,3.05,A
,,1.88,A
,,5.47,A
,,6.7,A
,,7.32,A
,,12.6,A
,,3.23,A
,,27.22,A
,,8.2,A
,,21.57,A
,,19,A
,,3.02,A
,,2.8,A
8.77,23.13,43.03,V
9.12,16.55,10.28,V
14.55,17.97,27.55,V
13.18,34.17,14.03,V
29.67,4.9,28.02,V
14.05,5.53,5.57,V
16.67,7.15,16.67,V
21.37,10.22,33.97,V
14.45,9.32,6.12,V
0.77,15.87,10.42,V
4.93,3.62,7.28,V
6.27,5.87,30.75,V
25.15,8.23,7.43,V
13.08,10.12,26.55,V
17.6,16.03,11.03,V
14.53,40.23,27.87,V
10.95,4.2,11.63,V
16.93,62.25,2.83,V
6.52,4,15.35,V
24.15,6.48,8.82,V
10.6,6.75,10.35,V
17.93,29.77,19.65,V
20.75,20.63,5.03,V
17.97,6.17,41.02,V
8.72,13.08,11.32,V
18.62,6.1,16.1,V
18.22,5.8,13.88,V
23.1,10.1,18.62,V
10.95,7.98,6.62,V
13.72,2.43,19.32,V
20.8,9.12,25.05,V
45.42,10.48,40.55,V
8.62,5.37,32.27,V
14.92,4.12,33.38,V
18.67,17.03,8.82,V
13.98,11.22,14.23,V
11.5,11.63,6.88,V
5.32,17.33,9.93,V
6.7,40.82,17.73,V
12.23,8.05,3.33,V
12.85,14.62,3.3,V
21.83,6.4,12,V
1.92,9.88,13.27,V
14.95,23.3,27.95,V
3.47,11,21.9,V
8.88,9.27,20.27,V
12.4,7.47,2.18,V
33.6,16.4,9.32,V
21.47,9.02,13.23,V
52.03,8.48,5.15,V
29.55,3.05,25.95,V
7.92,32.18,14.83,V
23.33,6.42,14.43,V
6.1,4.75,4.07,V
6.77,2.33,4.6,V
8.52,3.53,6.9,V
14.13,15.65,8.47,V
14.1,4.1,14.22,V
14.6,11.97,2.97,V
22.77,11.25,8.53,V
18.37,10.9,5.05,V
8.42,7.32,2.02,V
7.27,4.52,4.82,V
20.73,4.47,9.18,V
14.82,1.22,6.38,V
9.08,12.42,21.78,V
14.27,2.18,14.17,V
10.53,2.37,22.55,V
18.47,9.87,13.73,V
7.63,0.58,29.17,V
10.32,1.92,10.6,V
4.77,8.18,5.83,V
5.65,1.08,11.97,V
3.23,2.48,24.52,V
8.97,2.53,11.65,V
19.57,3.78,3.48,V
13.02,6.75,11.37,V
14.03,9.35,18.52,V
23.38,2.85,10.98,V
19.18,9,26.4,V
22.83,18.45,7.03,V
16.27,16.53,9.13,V
12.65,24.93,9.73,V
9.32,19.38,4.52,V
9.48,64.58,18.15,V
8.33,36.03,26.03,V
10.77,34.3,36.32,V
16.12,20.65,16.52,V
12.63,22.28,27.6,V
8.08,22.47,39.13,V
11.57,27.77,9.93,V
24.33,41.13,8.48,V
6.37,1.63,0.82,V
4.33,3.88,9.48,V
19.97,7.68,4.83,V
21.4,5.37,12.83,V
48.4,13.17,12.02,V
37.25,16.53,6.25,V
5.42,6.6,4.63,V
28.9,5.15,5.93,V
14.88,4.35,11.6,V
4.42,4.58,16.22,V
,7.25,13.27,V
,31.47,23.77,V
,37.67,22,V
,4.8,21.58,V
,0.87,5.67,V
,11.72,16.3,V
,4.27,,V
,3.12,,V
,6.02,,V
,5.57,,V
,14.73,,V
,7.88,,V
,5.5,,V
,1.93,,V
,2.88,,V
,3.38,,V
,1.37,,V
,6.47,,V
,1.13,,V
,4.92,,V
,3.17,,V
,6.88,,V
,4.03,,V
,4.42,,V
,3.95,,V
,5.18,,V
,2.67,,V
,13.38,,V
,1.52,,V
,4.47,,V
,3.75,,V
,15.3,,V
,4.23,,V
,17.25,,V
,12.55,,V
,21.18,,V
,43.72,,V
